Temperature (K) - T,Magnetic Field (Oe) - H ,M-DC (emu) - M
39.0015297,999.926,0.0822820218
38.9602661,1999.9745,0.1667684735
38.988615,3000.005,0.2511755048
38.9950085,5000.093,0.4193127785
38.9925327,7000.2475,0.5861641185
39.0012512,9999.0685,0.8339717472
39.0072384,14998.791,1.2365044112
38.997242,19999.747,1.6267364794
38.98628805,30000.9945,2.3526697978
39.0024281,39999.305,2.9999184383
39.0079079,50000.2675,3.5777176718
38.99066735,69999.633,4.551793516
39.0067577,90000.992,5.3227646083
43.9974403,-0.114,-0.0012978163
43.9907856,499.963,0.0327484099
43.9861393,999.964,0.0667871468
43.9838581,1999.9935,0.1350050156
43.9896793,3000.0425,0.2033015211
43.9947319,4999.97,0.3396763185
43.98309895,7000.058,0.4758339845
43.98781205,9999.4465,0.6792513814
43.9968834,15000.592,1.0139820464
43.99155235,20001.3575,1.3421085428
43.9934883,29999.004,1.9748112409
43.9905739,40000.346,2.5691400898
44.0009689,49999.9825,3.1170743367
44.0024929,70000.3945,4.0817305446
44.0054779,89999.949,4.8829058128
48.9883461,-0.0665,-0.0010715948
48.9833355,500.086,0.0277419489
48.98573495,999.8025,0.0565018879
48.99152565,2000.0885,0.1140758412
48.9942646,3000.1465,0.1716746977
48.99606515,5000.093,0.2868205701
48.999279,7000.1245,0.4019230179
48.9971466,9998.3095,0.5739298072
49.00049785,14999.075,0.8592693679
49.0019245,19998.8945,1.1420364698
49.0017319,30000.994,1.6953958214
48.999485,39999.7775,2.2280886165
49.0020485,49999.699,2.7338970552
49.00158885,70001.5315,3.6573543188
49.00201985,90000.426,4.4524947504
53.9984169,-0.057,-0.0009533633
53.99082375,499.9155,0.024170232
53.9855232,1000.0205,0.0492067306
53.98519895,2000.117,0.0993998918
53.9880314,3000.1275,0.1495799148
53.99409865,5000.1215,0.2496846373
53.9980564,7000.0395,0.3496302929
53.99978445,9999.542,0.4995592739
53.9986458,14999.929,0.7481819219
53.9990978,20000.6,0.995503041
53.99931335,29997.9605,1.4841348382
53.99868395,39998.7365,1.9602256708
53.99954795,50000.834,2.4215361578
53.9999142,70001.059,3.2842586434
54.002533,90000.5195,4.0564190672
58.94858935,0.019,-0.0008182952
58.94817925,500.0955,0.0213920433
58.94817545,1000.096,0.0435477149
58.9490776,2000.022,0.0878843529
58.9514904,3000.1465,0.1322095273
58.95520785,5000.1115,0.2205949247
58.96362305,7000.257,0.3091198167
58.96672055,9999.4475,0.4418671135
58.9776783,15000.9705,0.6621971791
58.9796467,20000.0315,0.881407229
58.98381615,29999.952,1.3151660884
58.98692135,39999.4945,1.7423654381
58.9920597,49998.752,2.1580865748
58.9929123,70000.3905,2.9503287383
58.99796865,89999.004,3.6779844482
